Date,Type,,Name,Location,State,Area,Wall / Boulder,Link,Grade,,,Danger,Status,,Protection,A.,Notes,Rating,Felt,Suggested
4/1/2023,Route,stinson-beach-the-choss-whisperer,The Choss Whisperer,Stinson Beach,CA,Mickey's Beach,Motown,Mountain Project,5.12b,7b,45,-,Attempt,FALSE,TR,,"Attempted. Couldn't commit to side-pull early on vertical face, got too pumped. Should try dialing and leading. Beta is really just long bouldery moves and long reaches, just wasn't mentally in it.",,,5.12b
4/2/2023,Boulder,berkeley-the-ramp,The Ramp,Berkeley,CA,Mortar Rock,Mortar Rock,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Didn't try much, glossy feet but jugs. Would put more effort into but there were a lot of poeple on fever and that was more interesting.",,,V4
4/2/2023,Boulder,berkeley-new-wave,New Wave,Berkeley,CA,Mortar Rock,Mortar Rock,Mountain Project,V9,7c,51,-,Attempt,FALSE,Pads,,"Attempted, the undercling hurts so bad, use tape on the left-hand ring finger. Pocket for the right-hand hurts. Use a high right foot before going for a high left. Couldn't make it to the pocket at the top of the next hold.",,,V9
4/2/2023,Boulder,berkeley-fever,Fever,Berkeley,CA,Mortar Rock,Mortar Rock,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted. Right-hand pinch lower than edge left hand on thumb catch. Crimp just requires a dead point. High right foot to peanut, then float right foot before going for the pocket.",,,V8
4/2/2023,Boulder,berkeley-nat's-traverse,Nat's Traverse,Berkeley,CA,Mortar Rock,Mortar Rock,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted crux, feet are all class. Rose is pretty hard, might have to throw a toe and hand match.",,,V8
4/2/2023,Boulder,berkeley-pegboard,Pegboard,Berkeley,CA,Indian Rock,Pit (W Side),Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,"Very spooky, very high, and very easy holds. Apparently, I can't crimp when I'm scared. Going out for the top right jug was very scary.",,,V1
4/2/2023,Boulder,berkeley-flake-traverse,Flake Traverse,Berkeley,CA,Indian Rock,Pit (W Side),Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,Attempted the crux a few times and found success with moving across once. Just loads the right hand a lot to switch weight to the gaston.,,,V3
4/2/2023,Boulder,berkeley-transportation-crack,Transportation Crack,Berkeley,CA,Indian Rock,Pit (W Side),Mountain Project,V-Easy,3,4,-,Flash,TRUE,Pads,,"First little climb of the day, still spooky.",,,V-Easy
4/2/2023,Boulder,berkeley-center-overhang-(aka-pitfall),Center Overhang (aka Pitfall),Berkeley,CA,Indian Rock,Pit (W Side),Mountain Project,V3,6a,21,R,Attempt,FALSE,Pads,,"Attempted many times, and whipped out after back-flagging every time. No matter how much you wedge that close right foot, it always slips a little when you back flag. It's terrifying. I'll have to commit eventually. Having a pad on the slab helps.",,,V3
4/2/2023,Boulder,berkeley-the-ape,The Ape,Berkeley,CA,Indian Rock,N face (Indian Rock),Mountain Project,V2+,5+,18,-,Sent,TRUE,Pads,,"Almost flash. Right crimp edge, lockoff to left up. Match third hold, go out right, and pinch with right over top until you can get foot up and grab good left hand edge. Standup and walk off.",,,V2+
4/9/2023,Boulder,columbia-river-gorge-space-pilot,Space Pilot,Columbia River Gorge,WA,Space Pilot,Space Pilot,Sendage,V10,7c+,55,-,Attempt,FALSE,Pads,,Got shut down by a finger intensive hell to move left hand.,,,V10
4/12/2023,Boulder,hills-creek-lake-the-new-workout-plan,The New Workout Plan,Hills Creek Lake,OR,Adam's Boulders,Adam's Boulders,Mountain Project,V9,7c,51,-,Attempt,FALSE,Pads,,"Attempted. Even getting into the start is hard. Lack of hip mobility and raising leg makes it so hard. Hand foot match for start is impossible for me, lower foot is still hard. Barely landed the first move, couldn't even see how to generate for the large move.",,,V9
4/14/2023,Boulder,the-garden-climbing-shitty-mantle,Shitty Mantle,The Garden Climbing,OR,Garden Main,Roadside Boulder,-,V1,5,13,-,Sent,TRUE,Pads,,Just a mantle into dish right of entrance.,,,V1
4/14/2023,Boulder,the-garden-climbing-fight-club,Fight Club,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Been a while since I've tried it, highest point to bump from start.",,,V8
4/14/2023,Boulder,the-garden-climbing-breadloaf-left,Breadloaf Left,The Garden Climbing,OR,Armageddon ,Breadloaf Boulder,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Attempted. Low right foot, high left, static reach to Gaston, bump to shitty sharp 2 finger â€œdishâ€. Switch feet and launch for jug rail. Match and get left on sloper with left foot. I liked mantling and attempting to get right foot to sloper Gaston. Also there's a sidepull undercling out right. Use high right foot and high ish left to secure it. Palm press on sloper. Wasn't able to balance with face in choss.",,,V4
4/15/2023,Boulder,carver-climbing-club-go-again,Go Again,Carver Climbing Club,OR,Columbia Boulders,Carver Classic,Mountain Project,V1,5,13,-,Sent,TRUE,Pads,,"Great climb, glad I got some beta. Start feet up, right up on great heel. Lift to jug and flip. Rock over on left foot to get good hold. Saw someone heel rock on start too. Go up",,,V1
4/15/2023,Boulder,carver-climbing-club-cedar-direct,Cedar Direct,Carver Climbing Club,OR,Stump Boulders,Cedar,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Another attempt, the crimp felt so bad. The start is even worse with no feet.",,,V7
4/15/2023,Boulder,carver-climbing-club-naughty-karate,Naughty Karate,Carver Climbing Club,OR,Stump Boulders,Stump Boulder,Mountain Project,V10,7c+,55,-,Attempt,FALSE,Pads,,"Attempted some moves in the route, nothing too hard. Tried heel toe cam and it kept ripping out.",,,V10
4/15/2023,Boulder,carver-climbing-club-button-hole,Button Hole,Carver Climbing Club,OR,Stump Boulders,Button Hole,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,"Still no day flash, the curse continues.",,,V2
4/15/2023,Boulder,carver-climbing-club-honey-bear-hookah,Honey Bear Hookah,Carver Climbing Club,OR,Columbia Boulders,Wrecker Anchor,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,Still can't get the first move. Notes on Wrecker. Second move was great in theories. Left foot is meh and right isn't great but with Theories I was able to dig a toe into texture and get the swing enough to reach the right hold. Right hand up is good but was too tired and I'm not sure drop knee beta is better than back flag.,,,V6
4/15/2023,Boulder,carver-climbing-club-wrecker-anchor,Wrecker Anchor,Carver Climbing Club,OR,Columbia Boulders,Wrecker Anchor,Mountain Project,V9,7c,51,-,Attempt,FALSE,Pads,,"Attempted. Couldn't get the first move. Really focus on isolating that left hand. Match looks hard. Tried big move for right arete as well, it's so hard. That left crimp sloper is terrible and the heel / foot is so hard.",,,V9
4/15/2023,Boulder,carver-climbing-club-super-cool,Super Cool,Carver Climbing Club,OR,Columbia Boulders,Columbia Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted again, didn't make any of the moves but came close to third move with hand over hold thanks to a good foot for left down low.",,,V8
4/15/2023,Boulder,carver-climbing-club-trask,Trask,Carver Climbing Club,OR,Columbia Boulders,Columbia Boulder,Mountain Project,V0,4,7,-,Day Flash,TRUE,Pads,,"Day flash, but didn't take time to figure out beta. Ended up terrified with palm presses and a sketchy left foot. Felt terrible.",,,V0
4/15/2023,Boulder,carver-climbing-club-carver-classic,Carver Classic,Carver Climbing Club,OR,Columbia Boulders,Carver Classic,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Attempted but missed the top of the arete. Everything else felt fine, no interest in repeating. Saw someone get high right to avoid mantle, or stay on left face.",,,V4
4/15/2023,Boulder,carver-climbing-club-the-mackerel,The Mackerel,Carver Climbing Club,OR,Triangle Boulders,Triangle Boulder,Mountain Project,V5-6,6c+,35,-,Attempt,FALSE,Pads,,"Couldn't quite figure out the moves, but only gave it one solid attempt.",,,V5-6
4/15/2023,Boulder,carver-climbing-club-right-side,Right Side,Carver Climbing Club,OR,Triangle Boulders,Triangle Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Couldn't even establish, where are the feet.",,,V7
4/15/2023,Boulder,carver-climbing-club-triangle-face,Triangle Face,Carver Climbing Club,OR,Triangle Boulders,Triangle Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Couldn't repeat first move. Tension just wasn't applying. Tried with Zack and ended up doing some of the upper moves.,,,V7
4/15/2023,Boulder,carver-climbing-club-objection-(desperate-warmup/legal-system),Objection (Desperate Warmup/Legal System),Carver Climbing Club,OR,Bonsai Boulders,Wave Boulder,Mountain Project,V2,5+,17,-,Attempt,FALSE,Pads,,"Attempted without shoes or pad, didn't go to far before I bailed.",,,V2
4/15/2023,Boulder,carver-climbing-club-suction,Suction,Carver Climbing Club,OR,Bonsai Boulders,Sugar Cube,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Attempted finally. The left hand is fantastic as a meat hook with edge, and lockoff with left. Rise into good hold. Might go.",,,V4
4/15/2023,Boulder,carver-climbing-club-red-meat-ma'am,Red Meat Ma'am,Carver Climbing Club,OR,Bonsai Boulders,Sugar Cube,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Gave a few tries, was unable to lockoff left hand start hard enough to shoot for ledge. From ledge, it was rough on skin and lack of feet to pull up.",,,V7
4/15/2023,Boulder,carver-climbing-club-gut-crunch,Gut Crunch,Carver Climbing Club,OR,Bonsai Boulders,Gut Crunch,Mountain Project,V5,6c,31,-,Sent,TRUE,Pads,,"Finally took the time to complete this, been a while. First two moves feel pretty committing and the second is large throw, however past that the climb is really chill. Start with right foot deep right, left flag. Just lockoff right arm and balance to grab left pinch. I set heel left, rock right then shoot for the good hold. It's great if you get deep enough, but far way. Scum a left foot into the dish in front of you to match the right foot, to flag left. Then slap the right side on the really good bump. From there switch feet to have left in the dish and right squeeze the boulder on the right to bring left into the jug undercling. From here it's pretty free. Right foot below you, left out left. Bring right hand to great pinch / crimp. Bring right foot up to start and grab jug on nose. Then get left to jug up high. Mantle over with the jug.",,,V5
4/15/2023,Boulder,carver-climbing-club-problem-#3a,Problem #3a,Carver Climbing Club,OR,Yosemite Boulders,Animal Magnetism,Mountain Project,V1,5,13,-,Sent,TRUE,Pads,,Mossy w/ branch on because why not.,,,V1
4/22/2023,Boulder,smith-rock-state-park-jizz-sap,Jizz Sap,Smith Rock State Park,OR,Sappy Boulders,Sappy Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Amazing boulder. Made many attempts. First sequence seemed pretty fine. Left heel and gross start, split fingers for second hold, three finger drag for third with pinkie down. I throw for the ledge and catch it just fine. Bump is best to imagine you're getting your thumb on the ledge to get the bump. You need to keep left foot left, and toe hard with right while you lean left to get match. I like Doug's beta of high right to go for pinch. Don't go deep in pinch, use intermediate to meat hook ledge. Other beta is a gross high outwards facing heel that defies my flexibility.",,,V8
4/22/2023,Boulder,smith-rock-state-park-basalt-and-pepper,Basalt and Pepper,Smith Rock State Park,OR,Sappy Boulders,Basalt Block,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,If this is V2 then I'm a fucking fool. This is not good haha,,,V3
4/22/2023,Boulder,smith-rock-state-park-basalt-of-the-earth,Basalt of the Earth,Smith Rock State Park,OR,Sappy Boulders,Basalt Block,Mountain Project,V4-5,6c,28,-,Sent,TRUE,Pads,,"Fun little problem. Right foot up sit start, bad foot. Drop knee second to get pinch crimp. Bump right foot with a palm on right, then go out right, left foot will fly off so hold it. Float left foot, lay down a right heel on start, and cross left. Then go big for right hand up, it's sent from there, it's a good hold.",,,V5
4/22/2023,Boulder,smith-rock-state-park-feeling-sappy,Feeling Sappy,Smith Rock State Park,OR,Sappy Boulders,Basalt Block,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,"Outrageous how close I got. Left foot high, right smear. Both hands on left of jug, left with three fingers. Pull in. Left up is easier. The hold is sharp. I hit it once but didn't contract, hit it second and ripped open my hand.",,,V5
4/22/2023,Route,smith-rock-state-park-nine-gallon-buckets,Nine Gallon Buckets,Smith Rock State Park,OR,Morning Glory Wall,Morning Glory Wall,Mountain Project,5.10c,6b,26,-,Top Roped,FALSE,TR,,"Another send of this route, first sequence is hardest, best on lead for that.",,,5.10c
4/22/2023,Route,smith-rock-state-park-chain-reaction,Chain Reaction,Smith Rock State Park,OR,The Dihedrals,The Dihedrals,Mountain Project,5.12c,7b+,49,-,Attempt,FALSE,Bolts,,"First attempts on the route. Loving the style. The arete is so nice. First sequence is honestly hard, and I have to pull on a mono. Getting up has some good holds. Crux is so cryptic. Great sequence with left foot high and back flag with toe hook.",,,5.12c
4/26/2023,Boulder,the-garden-climbing-octernal-direct,Octernal Direct,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Super scary! Don't like the mantle never got up.,,,V7
4/26/2023,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Attempting bare foot. Dry fired off a toe but feeling good on it.,,,V7
4/26/2023,Boulder,the-garden-climbing-fight-club,Fight Club,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempt in night session, long lines and didn't feel great about it.",,,V8
4/27/2023,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Attempting bare foot.,,,V7
4/27/2023,Boulder,the-garden-climbing-fight-club,Fight Club,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted but it didn't feel like the day, so I dropped it.",,,V8
4/29/2023,Boulder,the-garden-climbing-octernal,Octernal,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempting sit start barefoot, made all the moves, now to link. Feels really good. First move is so hard with no shoes, high dry fire potential. Second move can slip. Past that cross through is even more aggressive. Jumping to ledge is better left hand left toes spread and pulling in tight.",,,V7
4/29/2023,Boulder,the-garden-climbing-fight-club,Fight Club,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted further, wasn't feeling great so didn't make too many attempts. Tried taking attempts less serious.",,,V8
4/29/2023,Boulder,the-garden-climbing-the-siren-direct,The Siren Direct,The Garden Climbing,OR,Garden Main,Azain Boulder,-,V5,6c,31,-,Attempt,FALSE,Pads,,First move felt cruxy.,,,V5
5/1/2023,Boulder,the-garden-climbing-hueco-wabo,Hueco Wabo,The Garden Climbing,OR,Garden Main,Roadside Boulder,Mountain Project,V4,6b,25,-,Sent,TRUE,Pads,,Very nice climb with very nice holds.,,,V4
5/1/2023,Boulder,the-garden-climbing-enchilada,Enchilada,The Garden Climbing,OR,Garden Main,E's V7,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Attempted, but heels are too close and agressive.",,,V8
5/1/2023,Boulder,the-garden-climbing-spider-lurch,Spider Lurch,The Garden Climbing,OR,Garden Main,Boys in the Woods,-,V5,6c,31,-,Attempt,FALSE,Pads,,"Cleaned and attempted, close to iso move.",,,V5
5/1/2023,Boulder,the-garden-climbing-guillotine,Guillotine,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V4,6b,25,-,Flash,TRUE,Pads,,"Great fun. Lightning bolt is a jug with two small feet. Go out right to match a slanted ledge. Left foot up to weight, hard to remove, ends with mantle on jug.",,,V4
5/1/2023,Boulder,the-garden-climbing-the-siren-direct,The Siren Direct,The Garden Climbing,OR,Garden Main,Azain Boulder,-,V5,6c,31,-,Sent,TRUE,Pads,,"Direct variation. Got it focusing on keeping feet low and using same foot as moving hand. Pinch grab was satisfying, topout was how I remembered.",,,V5
5/1/2023,Boulder,the-garden-climbing-fight-club,Fight Club,The Garden Climbing,OR,Garden Main,Fight Club Boulder,Mountain Project,V8,7b,46,-,Sent,TRUE,Pads,,"Finally sent. Surprised, wasn't main focus of the day and only gave it a few attempts, felt very dialed and smooth. Hadn't done topout but it wasn't too bad. Bump was last move I hadn't done but a big throw helped. Got knew beta for my crux, right hand bump in dish. I use arete, and dropping left foot to engage heel made all the difference.",,,V8
5/1/2023,Boulder,the-garden-climbing-big-offwidth,Big Offwidth,The Garden Climbing,OR,Garden Main,Big Boulder,-,V0,,7,-,Day Flash,,Pads,1,So gross.,,,
5/1/2023,Boulder,the-garden-climbing-angry-mom,Angry Mom,The Garden Climbing,OR,Garden Main,Scary Grandma,Mountain Project,V2-3,5+,19,R,Flash,TRUE,Pads,,Very nice warm up.,,,V2-3
5/2/2023,Route,the-garden-climbing-butterfly-effect,Butterfly Effect,The Garden Climbing,OR,The Garden Cliffs,The Garden Cliffs,Mountain Project,5.13-,7c+,54,-,Attempt,FALSE,Bolts,,Tried some crux moves of the route.,,,5.13-
5/2/2023,Route,the-garden-climbing-slithering-skink,Slithering Skink,The Garden Climbing,OR,The Garden Cliffs,The Garden Cliffs,Mountain Project,5.10d,6b+,29,-,Hung,FALSE,Bolts,,"Tried as first climb of the day, completed with a hang for rest.",,,5.10d
5/4/2023,Boulder,the-garden-climbing-trust-issues,Trust Issues,The Garden Climbing,OR,Garden Main,Meth Lab Boulder,Mountain Project,V8-,7b,45,R,Attempt,FALSE,Pads,,Just felt the starting moves on the crack.,,,V8-
5/4/2023,Boulder,the-garden-climbing-toilet-bowl,Toilet Bowl,The Garden Climbing,OR,Garden Main,Toilet Bowl Boulder,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,This just felt awkward.,,,V2
5/4/2023,Boulder,the-garden-climbing-scrubbing-bubbles,Scrubbing Bubbles,The Garden Climbing,OR,Garden Main,Toilet Bowl Boulder,Mountain Project,V1,5,13,-,Sent,TRUE,Pads,,"Nice warmup, not sure it's worth the time.",,,V1
5/10/2023,Boulder,carver-climbing-club-higher-education,Higher Education,Carver Climbing Club,OR,Triangle Boulders,Tim's Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Start was pretty smooth, didn't go for left side.",,,V7
5/10/2023,Boulder,carver-climbing-club-unbuttoned,Unbuttoned,Carver Climbing Club,OR,Stump Boulders,Button Hole,Mountain Project,V2-3,5+,19,-,Attempt,FALSE,Pads,,Holds aren't holds. Amazing and grunty.,,,V2-3
5/10/2023,Boulder,carver-climbing-club-button-hole,Button Hole,Carver Climbing Club,OR,Stump Boulders,Button Hole,Mountain Project,V2,5+,17,-,Day Flash,TRUE,Pads,,First day flash of this horrible boulder.,,,V2
5/10/2023,Boulder,carver-climbing-club-cedar-project,Cedar Project,Carver Climbing Club,OR,Stump Boulders,Cedar,Mountain Project,V10,7c+,55,-,Attempt,FALSE,Pads,,"Attempt. Tugged on to attempt arete move and heel, heel popped.",,,V10
5/10/2023,Boulder,carver-climbing-club-cedar-direct,Cedar Direct,Carver Climbing Club,OR,Stump Boulders,Cedar,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"More success this time around. First move is fucked. Second move I was attempting more. Left foot drop knee helps, focus on generating up to that foot to push off it.",,,V7
5/10/2023,Boulder,carver-climbing-club-naughty-karate,Naughty Karate,Carver Climbing Club,OR,Stump Boulders,Stump Boulder,Mountain Project,V10,7c+,55,-,Attempt,FALSE,Pads,,"Attempted, was able to get to shark tooth from stand heel toe cam.",,,V10
5/10/2023,Boulder,carver-climbing-club-triangle-face,Triangle Face,Carver Climbing Club,OR,Triangle Boulders,Triangle Boulder,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Very few attempts. Landed first move but not second. Showed left leap with drop knee.,,,V7
5/10/2023,Boulder,carver-climbing-club-gruel,Gruel,Carver Climbing Club,OR,Columbia Boulders,Gruel,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,"Attempted. So gross. First move just sink so low under right hand, left foot on.",,,V7
5/10/2023,Boulder,carver-climbing-club-kinda-cool,Kinda Cool,Carver Climbing Club,OR,Columbia Boulders,Columbia Boulder,Mountain Project,V5-6,6c,35,-,Attempt,FALSE,Pads,,"Attempted direct. So difficult. Have to pull brick to waist, swing around and use toe and foot to generate up.",,,V5
5/10/2023,Boulder,carver-climbing-club-super-cool,Super Cool,Carver Climbing Club,OR,Columbia Boulders,Columbia Boulder,Mountain Project,V8,7b,46,-,Attempt,FALSE,Pads,,"Made the first move! Only issue is the only way I got it was a low left foot, and right heel. Heel is impossible to do next move. Got so close on third move. Twist right knee out, think about generating left foot to get on top of right foot.",,,V8
5/10/2023,Boulder,carver-climbing-club-t.i.a.,T.I.A.,Carver Climbing Club,OR,Columbia Boulders,Columbia Boulder,Mountain Project,V3,6a,21,-,Sent,TRUE,Pads,,"Very nice huge cross at the start. Thought a hold was a jug, the next was even better.",,,V3
5/10/2023,Boulder,carver-climbing-club-honey-bear-hookah,Honey Bear Hookah,Carver Climbing Club,OR,Columbia Boulders,Wrecker Anchor,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,"More attempts. First move feels rough still, got closer. Left hand up with left heel feels better, but I need to set left heel better. Potential to drop right foot, I have it low. Had close success. Right hand up is harder still, but found heeling left side to stop barn door is better. Second move is still fine. Did top-out from matched on right side. It was alright but not free. Right hand needs to be accurate to match with left and bump to side-pull.",,,V6
5/10/2023,Boulder,carver-climbing-club-go-again,Go Again,Carver Climbing Club,OR,Columbia Boulders,Carver Classic,Mountain Project,V1,5,13,-,Sent,TRUE,Pads,,"Nice little warmup. Still did high right heel because its fun. Missed first attempt because I didn't bump left to great hold. Swinging for left doesn't feel great, but I forgot the good beta.",,,V1
5/10/2023,Boulder,carver-climbing-club-carver-classic,Carver Classic,Carver Climbing Club,OR,Columbia Boulders,Carver Classic,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,"Gave attempt, fell tryin got go for arete, needed to hike up on heels more. Glad to skip out on top out.",,,V4
5/12/2023,Boulder,index-sobriosity,Sobriosity,Index,WA,Gold Bar Boulders,Five Star Boulder,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,Very hard for me to get the high left heel.,,,V6
5/12/2023,Boulder,index-toebriosity,Toebriosity,Index,WA,Gold Bar Boulders,Five Star Boulder,Mountain Project,V12,8a+,63,-,Attempt,FALSE,Pads,,"Just attempted left foot, right toe, hand snatch, amazing tension.",,,V12
5/12/2023,Boulder,index-ebriosity,Ebriosity,Index,WA,Gold Bar Boulders,Five Star Boulder,Mountain Project,V10+,7c+,56,-,Attempt,FALSE,Pads,,"Attempted. First move with right foot is clean to triangle punch, then switch feet to go for bad ball. Heel to cam is amazing placed close. Never made the throw out left. Move up heel toe cam. Made move up to top block, very nice. Left flag to bump left. Move out right I got close, flag left honestly is better. Left hand in divet, right foot out right, right hand cross to hood triangle pinch, pivot on it  and switch feet to grab a bad non, fingers left of non in texture drag. Place heel toe cam close. Bump left and go big. Bring heel closer and push toes into rock. Right hand up, heavy backflag to bring left hand into pinch. Left flag and go huge for side pull. Either bring right up or left close.",,,V10+
5/12/2023,Boulder,index-ross-bongo-variation,Ross Bongo Variation,Index,WA,Gold Bar Boulders,Five Star Boulder,Mountain Project,V10,7c+,55,-,Attempt,FALSE,Pads,,Attempted. A few betas seemed interesting for the start. Left toe on start and lean out. Right heel on ledge and lean works as well. Gaston makes it so hard to remove foot to place as toe and walk over.,,,V10
5/13/2023,Boulder,index-zelda-rails,Zelda Rails,Index,WA,Zelda Boulders,Zelda,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,Very hard to keep the heel on.,,,V4
5/13/2023,Boulder,index-the-engineer,The Engineer,Index,WA,Zelda Boulders,Engineer,Mountain Project,V7,7a+,42,-,Attempt,FALSE,Pads,,Scary,,,V7
5/13/2023,Boulder,index-the-undergrad,The Undergrad,Index,WA,Zelda Boulders,Unnamed,Mountain Project,V6,7a,38,-,Attempt,FALSE,Pads,,"Very grindy, couldn't drag left foot up. Nice heel though.",,,V6
5/13/2023,Boulder,index-zelda-rails-right,Zelda Rails Right,Index,WA,Zelda Boulders,Zelda,Mountain Project,V5,6c,31,-,Sent,TRUE,Pads,,Very nice climb. Easier than the V4 and V3 I tried.,,,V5
5/13/2023,Boulder,index-zelda-dyno,Zelda Dyno,Index,WA,Zelda Boulders,Z Dyno,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,Why is this so hard. 1 inch from lip. Right foot hood and left is close and shit.,,,V4
5/13/2023,Boulder,index-roof-crack,Roof Crack,Index,WA,Zelda Boulders,Open Book Boulder,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,"Couldn't get to right hand outside. Saw a left toe hook, and a right heel jam.",,,V3
5/13/2023,Boulder,index-left-arete-slab,Left Arete Slab,Index,WA,Zelda Boulders,Open Book Boulder,Mountain Project,V0,4,7,-,Attempt,FALSE,Pads,,I was on the wrong side,,,V0
5/13/2023,Boulder,index-open-book-corner,Open Book Corner,Index,WA,Zelda Boulders,Open Book Boulder,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,Nice jugs in center,,,V1
5/13/2023,Boulder,index-hagakure,Hagakure,Index,WA,River Boulders,Hagakure Boulder,Mountain Project,V12,8a+,63,-,Attempt,FALSE,Pads,,"Was able to start on second hold and pinch and go to sloper ledge, not move to next. Start is brutal. Far foot I can get second, placing right to bump left foot is so hard.",,,V12
5/13/2023,Boulder,index-leggo-my-ego,Leggo my Ego,Index,WA,River Boulders,Hagakure Boulder,Mountain Project,V6,7a+,38,-,Attempt,FALSE,Pads,5,"Super hard, maybe bad conditions.",,,V6
5/18/2023,Boulder,the-garden-climbing-e's-dirty-b,E's Dirty B,The Garden Climbing,OR,Garden Main,E's Dirty B,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,5,"Could make the first move static with a right drop knee, and undercling squared up, but didn't try past that.",,,V5
5/18/2023,Boulder,the-garden-climbing-durden-crack,Durden Crack,The Garden Climbing,OR,Garden Main,Tyler Durden Boulder,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,2,Wouldn’t attempt again padless.,,,V1
5/18/2023,Boulder,the-garden-climbing-austin-powers,Austin Powers,The Garden Climbing,OR,Garden Main,Mini-Me Boulder,Mountain Project,V5,6c,31,-,Sent,TRUE,Pads,5,"Found a beta that really worked for me. First move was honestly easier than I remembered, could flash that without much issue. Next I set up my feet to snatch shitty crimp on upper face. Once there, I set a low right smear, and heel left on start. Let’s me sink in despite shitty right hand crimp and statically release left from jug. I found a texture crimp with a thumb on lip. Lip usually feels unusable especially from too far left, but the hold fits me well, I set a high right foot and launch across the face for jug on right arete. Without this closer left hand I can’t span. Cross foot to sloper and top the boulder. Felt V4/V5 with this beta, which was nice.",,,V5
5/18/2023,Boulder,the-garden-climbing-dr.-evil,Dr. Evil,The Garden Climbing,OR,Garden Main,Mini-Me Boulder,Mountain Project,V3,6a,21,-,Sent,TRUE,Pads,5,"Gave me more difficulty than Austin Powers, just had to figure out my feet. Gross right foot perch on slopey foot on arete worked. Come into right sidepull. Hate this climb.",,,V3
5/18/2023,Boulder,the-garden-climbing-blubonic-plague,Blubonic Plague,The Garden Climbing,OR,Garden Main,Blubonic Plague,-,V3,6a,21,-,Sent,TRUE,Pads,4,"Subpar landing, cleaned and sent. First move is cruxy and first hold feels like it will snap. Not too bad. Use left toe to pull into far sidepull. Commiting move to grab a shark tooth then a satisfying mantle.",,,V3
5/18/2023,Boulder,the-garden-climbing-frontside-baldo,Frontside Baldo,The Garden Climbing,OR,Garden Main,Baldinator,Mountain Project,V1,5,13,-,Sent,TRUE,Pads,2,"Cleaned and sent. Didn’t feel too bad, but not worth the effort. Bad landing, okay movement. Sit start to awkward right hand catch in slot. Switch feet to get bomber left arete. Switch feet and heel left to get right hand to close slot. Hike up on feet to lip match to an easy mantle.",,,V1
